step,time,mid_price,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,drawdown,u_skew,u_spr,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
61,0.61,99.38353314675561,99.33965664648284,1.8331017980432494,99.33965664648284,1.8427033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.49695332007326,101.18235997289241,0,1.5021641935056067,1.5021641935056067,1.2671093644706735,1.2671093644706735,0.012591153337561,0.012591153337561,False,False
62,0.62,99.46928443444793,99.38353314675561,1.8311017980432494,99.38353314675561,1.8407033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.54282982034603,101.22423647316519,0,1.5021641935056067,1.5021641935056067,1.269646119108662,1.269646119108662,0.012616201159572404,0.012616201159572404,False,False
63,0.63,99.22439062810383,99.46928443444793,1.8291017980432493,99.46928443444793,1.8387033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.63058110803836,101.3079877608575,0,1.5021641935056067,1.5021641935056067,1.272187952332838,1.272187952332838,0.01264129849005391,0.01264129849005391,False,False
64,0.64,99.5691237722605,99.22439062810383,1.8271017980432496,99.22439062810383,1.8367033264095785,0.4800764183164432,-0.0,0.009601528366328865,97.38768730169426,101.06109395451341,0,1.5021641935056067,1.5021641935056067,1.2747348743105014,1.2747348743105014,0.012666445425583261,0.012666445425583261,False,False
65,0.65,99.86141263070894,99.5691237722605,1.8251017980432493,99.5691237722605,1.8347033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.73442044585092,101.40382709867008,0,1.5021641935056067,1.5021641935056067,1.277286895229362,1.277286895229362,0.012691642062921837,0.012691642062921837,False,False
66,0.66,99.68246722691778,99.86141263070894,1.8231017980432493,99.86141263070894,1.8327033264095782,0.4800764183164432,-0.0,0.009601528366328865,98.02870930429937,101.69411595711851,0,1.5021641935056067,1.5021641935056067,1.2798440252975243,1.2798440252975243,0.012716888499014645,0.012716888499014645,False,False
67,0.67,99.68144285357377,99.68246722691778,1.8211017980432493,99.68246722691778,1.8307033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.8517639005082,101.51317055332736,0,1.5021641935056067,1.5021641935056067,1.2824062747434761,1.2824062747434761,0.0127421848309901,0.0127421848309901,False,False
68,0.68,99.96293922583651,99.68144285357377,1.8191017980432496,99.68144285357377,1.8287033264095784,0.4800764183164432,-0.0,0.009601528366328865,97.85273952716419,101.51014617998335,0,1.5021641935056067,1.5021641935056067,1.284973653816237,1.284973653816237,0.012767531156161471,0.012767531156161471,False,False
69,0.6900000000000001,99.5529048056303,99.96293922583651,1.8171017980432493,99.96293922583651,1.8267033264095782,0.4800764183164432,-0.0,0.009601528366328865,98.13623589942694,101.78964255224608,0,1.5021641935056067,1.5021641935056067,1.2875461727853446,1.2875461727853446,0.012792927572026436,0.012792927572026436,False,False
70,0.7000000000000001,99.30914219354558,99.5529048056303,1.8151017980432493,99.5529048056303,1.8247033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.72820147922073,101.37760813203988,0,1.5021641935056067,1.5021641935056067,1.2901238419408418,1.2901238419408418,0.0128183741762673,0.0128183741762673,False,False
71,0.71,99.49232270201678,99.30914219354558,1.8131017980432493,99.30914219354558,1.8227033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.486438867136,101.13184551995516,0,1.5021641935056067,1.5021641935056067,1.2927066715934268,1.2927066715934268,0.012843871066751888,0.012843871066751888,False,False
72,0.72,99.39548881535006,99.49232270201678,1.8111017980432496,99.49232270201678,1.8207033264095784,0.4800764183164432,-0.0,0.009601528366328865,97.67161937560721,101.31302602842635,0,1.5021641935056067,1.5021641935056067,1.2952946720744403,1.2952946720744403,0.012869418341533767,0.012869418341533767,False,False
73,0.73,99.50311190275085,99.39548881535006,1.8091017980432493,99.39548881535006,1.8187033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.57678548894049,101.21419214175964,0,1.5021641935056067,1.5021641935056067,1.2978878537358507,1.2978878537358507,0.012895016098851908,0.012895016098851908,False,False
74,0.74,99.36392338041671,99.50311190275085,1.8071017980432493,99.50311190275085,1.8167033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.68640857634126,101.31981522916043,0,1.5021641935056067,1.5021641935056067,1.3004862269504065,1.3004862269504065,0.012920664437131912,0.012920664437131912,False,False
75,0.75,99.39923805210745,99.36392338041671,1.8051017980432493,99.36392338041671,1.8147033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.54922005400712,101.1786267068263,0,1.5021641935056067,1.5021641935056067,1.3030898021116042,1.3030898021116042,0.012946363454985899,0.012946363454985899,False,False
