time,mid_price,inventory,cash,wealth,drawdown,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,u_skew,u_spr,bid,ask,bid_fill,ask_fill,reward
1.29,102.84982632023682,0,0.0,0.0,0.0,103.25053077865012,4.697101798043249,103.75053077865012,4.697101798043249,0.5,0.0,99.05342898060687,108.44763257669337,False,False,-0.0025
1.3,102.87140240910543,0,0.0,0.0,0.0,102.84982632023682,4.6951017980432495,103.34982632023682,4.6951017980432495,0.5,0.0,98.65472452219356,108.04492811828007,False,False,-0.0025
1.31,102.6210729662842,0,0.0,0.0,0.0,102.87140240910543,4.69310179804325,103.37140240910543,4.69310179804325,0.5,0.0,98.67830061106218,108.06450420714867,False,False,-0.0025
1.32,102.7090002874876,0,0.0,0.0,0.0,102.6210729662842,4.69110179804325,103.1210729662842,4.69110179804325,0.5,0.0,98.42997116824095,107.81217476432745,False,False,-0.0025
1.33,102.42644711070912,0,0.0,0.0,0.0,102.7090002874876,4.689101798043249,103.2090002874876,4.689101798043249,0.5,0.0,98.51989848944434,107.89810208553085,False,False,-0.0025
1.34,102.33209190398145,0,0.0,0.0,0.0,102.42644711070912,4.6871017980432494,102.92644711070912,4.6871017980432494,0.5,0.0,98.23934531266588,107.61354890875236,False,False,-0.0025
1.35,102.35974019039318,0,0.0,0.0,0.0,102.33209190398145,4.68510179804325,102.83209190398145,4.68510179804325,0.5,0.0,98.1469901059382,107.5171937020247,False,False,-0.0025
1.36,102.46575313151348,0,0.0,0.0,0.0,102.35974019039318,4.683101798043249,102.85974019039318,4.683101798043249,0.5,0.0,98.17663839234993,107.54284198843644,False,False,-0.0025
1.37,102.50510835084488,0,0.0,0.0,0.0,102.46575313151348,4.681101798043249,102.96575313151348,4.681101798043249,0.5,0.0,98.28465133347024,107.64685492955672,False,False,-0.0025
1.3800000000000001,102.6093418019913,0,0.0,0.0,0.0,102.50510835084488,4.679101798043249,103.00510835084488,4.679101798043249,0.5,0.0,98.32600655280163,107.68421014888813,False,False,-0.0025
1.3900000000000001,102.77524561039613,0,0.0,0.0,0.0,102.6093418019913,4.67710179804325,103.1093418019913,4.67710179804325,0.5,0.0,98.43224000394805,107.78644360003456,False,False,-0.0025
1.4000000000000001,102.47880853090756,0,0.0,0.0,0.0,102.77524561039613,4.675101798043249,103.27524561039613,4.675101798043249,0.5,0.0,98.60014381235288,107.95034740843937,False,False,-0.0025
1.41,102.6286953108531,0,0.0,0.0,0.0,102.47880853090756,4.67310179804325,102.97880853090756,4.67310179804325,0.5,0.0,98.30570673286431,107.6519103289508,False,False,-0.0025
1.42,102.84653881019526,0,0.0,0.0,0.0,102.6286953108531,4.671101798043249,103.1286953108531,4.671101798043249,0.5,0.0,98.45759351280985,107.79979710889636,False,False,-0.0025
1.43,102.69264777683384,0,0.0,0.0,0.0,102.84653881019526,4.669101798043249,103.34653881019526,4.669101798043249,0.5,0.0,98.67743701215201,108.0156406082385,False,False,-0.0025
1.44,102.96336495474772,0,0.0,0.0,0.0,102.69264777683384,4.66710179804325,103.19264777683384,4.66710179804325,0.5,0.0,98.52554597879059,107.85974957487709,False,False,-0.0025
1.45,102.84448488430797,0,0.0,0.0,0.0,102.96336495474772,4.665101798043249,103.46336495474772,4.665101798043249,0.5,0.0,98.79826315670446,108.12846675279097,False,False,-0.0025
1.46,102.77288154669309,0,0.0,0.0,0.0,102.84448488430797,4.663101798043249,103.34448488430797,4.663101798043249,0.5,0.0,98.68138308626473,108.00758668235122,False,False,-0.0025
1.47,102.49644524361767,0,0.0,0.0,0.0,102.77288154669309,4.66110179804325,103.27288154669309,4.66110179804325,0.5,0.0,98.61177974864984,107.93398334473633,False,False,-0.0025
1.48,102.59138466131031,0,0.0,0.0,0.0,102.49644524361767,4.65910179804325,102.99644524361767,4.65910179804325,0.5,0.0,98.33734344557442,107.65554704166092,False,False,-0.0025
1.49,102.77704405962402,0,0.0,0.0,0.0,102.59138466131031,4.657101798043249,103.09138466131031,4.657101798043249,0.5,0.0,98.43428286326707,107.74848645935356,False,False,-0.0025
1.5,102.56309357736608,0,0.0,0.0,0.0,102.77704405962402,4.655101798043249,103.27704405962402,4.655101798043249,0.5,0.0,98.62194226158077,107.93214585766727,False,False,-0.0025
1.51,102.52524470917879,0,0.0,0.0,0.0,102.56309357736608,4.65310179804325,103.06309357736608,4.65310179804325,0.5,0.0,98.40999177932282,107.71619537540933,False,False,-0.0025
1.52,102.78937704028442,0,0.0,0.0,0.0,102.52524470917879,4.651101798043249,103.02524470917879,4.651101798043249,0.5,0.0,98.37414291113555,107.67634650722204,False,False,-0.0025
1.53,103.00282152359881,0,0.0,0.0,0.0,102.78937704028442,4.649101798043249,103.28937704028442,4.649101798043249,0.5,0.0,98.64027524224117,107.93847883832767,False,False,-0.0025
1.54,103.07949694623531,0,0.0,0.0,0.0,103.00282152359881,4.647101798043249,103.50282152359881,4.647101798043249,0.5,0.0,98.85571972555556,108.14992332164206,False,False,-0.0025
